EXTRACTION_RULE,FILE_NAME,HYPERNYM,IS_DEFINITION,PLAIN_TEXT_DEF,PLAIN_TEXT_TERM
theorem + emph{},0909.4184#hLtpaperH4.tex,,FALSE,"
Let (B,λ) and (F,τ) be Lefschetz algebras.  Let E=⊕_i=0^eE^i be an -graded Artinian -algebra equipped with -algebra homomorphisms

    π B→ E

and

    ι E→ F.

Suppose that 


  * E is a free B-module via π

  * ι is surjective with {ι}=B^+· E.

Then for any x∈ι^-1(τ) the pair (E,π(λ)+tx) is a Lefschetz algebra for some t∈.",free
theorem + emph{},1805.00815#1805.00815.tex,,FALSE,"Given (,) ∈(G), set X=, Y=, and define
 

  θ_1: add to Y all elements of G ∖ X with no arrow from an element of X.

  θ_2: add to X all elements of G ∖ Y with no arrow to an element of Y.

Then both θ_1 ∘θ_2 and θ_2 ∘θ_1 are injections (G) ↪(G).  
Moreover, if (G) is a lattice, then they coincide and are inverses to ϕ.",from;to
definition + emph{},1601.03526#thesis.tex,,FALSE,"[directed graph, vertex, arc, incidence, and ends]
  A <graph!directed>directed graph G = (V,E,δ) consists of a set of [vertex]vertices V, a set of [arc]arcs E, and an <incidence!function>incidence function δ : E → V × V, where V × V is the set of ordered pairs of V.  For an edge e ∈ E with δ(e) = (v_1,v_2), the first vertex v_1 is the <tail!arc>tail and second vertex v_2 is the <head!arc>head of e, together they are also called the <arc!ends>ends of e. We also say that e is an edge from its tail v_1 to its head v_2.",from;to
definition + emph{},1712.00447#ClusterFeb18-2019.tex,,FALSE,"Let G be a reduced plabic graph.  We associate a quiver Q(G) as follows.  The vertices of 
Q(G) are labeled by the faces of G.  We say that a vertex of Q(G) is frozen
if the 
corresponding face is incident to the boundary of the disk, and is mutable otherwise.
For each edge e in G which separates two faces, at least one of which is mutable, 
we introduce an arrow connecting the faces;
 this arrow is oriented so that it “sees the white endpoint of e to the left and the 
black endpoint to the right” as it crosses over e.  We then remove oriented 2-cycles
from the resulting quiver, one by one, to get Q(G). See <ref>.",frozen;mutable
definition + emph{},1811.02724#Abstract_1.tex,,FALSE,"Let G be a reduced plabic graph.  We associate a quiver Q(G) as follows.  The vertices of 
Q(G) are labeled by the faces of G.  We say that a vertex of Q(G) is frozen
if the 
corresponding face is incident to the boundary of the disk, and is mutable otherwise.
For each edge e in G which separates two faces, at least one of which is mutable, 
we introduce an arrow connecting the faces;
 this arrow is oriented so that it “sees the white endpoint of e to the left and the 
black endpoint to the right” as it crosses over e.  We then remove oriented 2-cycles
from the resulting quiver, one by one, to get Q(G). See 
<ref>.",frozen;mutable
definition + emph{},1908.10914#1908.10914.tex,,FALSE,"
Let Fn(k,2) denote the set of all functions from a subset of {1,2,…,k} to {p,n}. We say that Fn(k,2) is full provided that, for every i ∈{1,2,…,k} and j ∈{p,n}, there is some f ∈ with f(i) = j. For each n ∈, let (n) denote the least k ∈ with the following property:


  (†)_n For any full Fn(k,2), there is some  and D ⋃_g ∈dom(g) such that |D| ≥ n, and no two members of  disagree on D.

If there is no such k ∈, then we say that (n) is not well-defined.",full
definition + emph{},1006.1076#doublearxiv.tex,,FALSE,A subquiver is full if it contains every vertex of Q which lies within the boundary of the subquiver.,full
definition + emph{},1811.02404#cde_vexillary.tex,,FALSE,"We say that w∈𝔖_n is fully commutative if starting from any reduced word for w we can obtain any other reduced word for w by applying a sequence of commutation relations (i.e., we only need to use the relations (<ref>), not (<ref>)).",fully commutative
definition + emph{},1402.2166#fullycommut-final.tex,,FALSE,"
 An element w is fully commutative (FC) if any reduced expression for w can be obtained from any other one by using only commutation relations.",fully commutative
definition + emph{},1407.5575#periods.tex,,FALSE,An element w∈ W is fully commutative (FC) if the set ℛ(w) forms a Γ-commutation class.,fully commutative
definition + emph{},1711.09498#kohnert.tex,,FALSE,"A diagram D is fundamental if for each cell (r,c) of D that is leftmost in its row, either there is a cell in position (r+1,c), or for each column c'<c and for all k≥ 1 we have
  
    #{(s,c') ∈ D | r < s ≤ r+k }≤#{(s,c) ∈ D | r < s ≤ r+k }.

  ",fundamental
theorem + emph{},1109.4130#computing.tex,,FALSE,"[<cit.>]
  Let B be a basis of the matroid M. For any v ∈Σ_B, v is in the local tropical linear space (M)_B if and only if the minimum min{v_i | i ∈ C} is attained at least twice for any fundamental circuit C over the basis B.",fundamental
definition + emph{},1706.07085#Braun_Meyer_LaplacianSimplices_arxivJune21_2017.tex,,FALSE,"
Given a lattice simplex 𝒫⊂^n-1 with vertices {v_i}_i ∈ [n], the fundamental parallelepiped of 𝒫 is the subset of 𝒫 defined by 

    Π_𝒫 := {∑_i=1^n λ_i (v_i, 1) | 0 ≤λ_i < 1  }  .

Further, |Π_𝒫∩^n| is equal to the determinant of the matrix whose ißth row is given by (v_i,1).",fundamental parallelepiped
definition + emph{},1011.1602#top-ehrhart.tex,,FALSE,"The fundamental parallelepiped $̱ of the cone (with respect to
the generatorsv_i,i=1, …,d) is the set

    =̱∑_i=1^d [0,1[  v_i.",fundamental parallelepiped
definition + emph{},1403.1527#1403.1527.tex,,FALSE,"
Let α n be a composition. Then the
fundamental quasisymmetric function F_α is defined by F_∅=1 and

    F_α=∑ x_i_1⋯ x_i_n

where the sum is over all n-tuples (i_1,…,i_n) of positive integers
satisfying

    1≤ i_1≤⋯≤ i_n and
    i_j<i_j+1 if j∈(α).
",fundamental quasisymmetric function
definition + emph{},1903.05802#weak_EG.tex,,FALSE,"[<cit.>]
  For α a composition, the fundamental quasisymmetric function F_α is 
  
    F_α(x_1,x_2,…) = ∑_(b)  refines α x_1^b_1 x_2^b_2⋯,

  where the sum is over weak compositions b for which the composition (b) obtained by removing all parts equal to 0 refines α.",fundamental quasisymmetric function
definition + emph{},1703.07457#bozo.tex,,FALSE,"[<cit.>]
  The fundamental quasisymmetric function for D ⊆ [n-1] is
  
    F_D(X) = ∑_i_1 ≤⋯≤ i_n 
     j∈ D ⇒ i_j < i_j+1 x_i_1⋯ x_i_n .

  ",fundamental quasisymmetric function
definition + emph{},1904.06630#P-partitions.tex,,FALSE,"[<cit.>]
  For α a strong composition, the fundamental quasisymmetric function F_α is given by
  
    F_α(X) = ∑_(b)  refines α x_1^b_1 x_2^b_2⋯ ,

  where the sum is over weak compositions b whose flattening refines α.",fundamental quasisymmetric function
definition + emph{},1512.04614#1512.04614.tex,,FALSE,"
Let α = (α _1, … , α _ℓ) be a composition. Then the fundamental quasisymmetric function F_α is defined to be F_0 = 1 and

    F_α = ∑ x_i_1⋯ x_i_|α|
where the sum is over all |α|-tuples (i_1, … , i_|α|) of indices satisfying

    i_1≤⋯≤ i_|α| i_j<i_j+1 j ∈(α).
",fundamental quasisymmetric function
definition + emph{},1603.09744#quasi_schubert_rev1.tex,,FALSE,"For a weak composition a of length n, define the fundamental slide polynomial _a = _a(x_1,…,x_n) by
  
    _a = ∑_b ≥ a 
    (b)  refines (a) x_1^b_1⋯ x_n^b_n,

  where the sum is over all compositions b obtained by shifting or splitting the entries of a to the left while preserving their relative order.
  ",fundamental slide polynomial
definition + emph{},1707.01172#QKxS.tex,,FALSE,"[<cit.>]
  Given a weak composition a, the fundamental slide polynomial _a is defined by
  
    _a = ∑_b ≥ a 
    (b)  refines (a) x^b.
",fundamental slide polynomial
definition + emph{},1703.02466#hall.tex,,FALSE,"[<cit.>]
  The fundamental slide polynomial _a(X) is given by
  
    _a(X) = ∑_b ≥ a 
    flat(b)  refines flat(a) X^b,

  where flat(a) is the composition obtained by removing zero parts from a.",fundamental slide polynomial
definition + emph{},1702.00132#trunc.tex,,FALSE,"[<cit.>]
  For a weak composition a of length n, define the fundamental slide polynomial _a = _a(x_1,…,x_n) by
  
    _a = ∑_b ≥ a 
    flat(b)  refines flat(a) x_1^b_1⋯ x_n^b_n,

  where b ≥ a means b_1 + ⋯ + b_k ≥ a_1 + ⋯ + a_k for all k=1,…,n.
  ",fundamental slide polynomial
definition + emph{},1609.03507#quasi_key.tex,,FALSE,"[<cit.>]
  For a weak composition a of length n, define the fundamental slide polynomial _a = _a(x_1,…,x_n) by
  
    _a = ∑_b ≥ a 
    (b)  refines (a) x^b,

  where the relation b≥ a is dominance order, and (a) is the strong composition obtained by removing all 0 terms of a.
  ",fundamental slide polynomial
definition + emph{},1903.05802#weak_EG.tex,,FALSE,"[<cit.>]
  For a weak composition a of length n, the fundamental slide polynomial _a = _a(x_1,…,x_n) is
  
    _a = ∑_b_1 + ⋯ + b_k ≥ a_1 + ⋯ + a_k  ∀ k 
    flat(b)  refines flat(a) x_1^b_1⋯ x_n^b_n,

  where flat(a) denotes the composition obtained by removing all zero parts.
  ",fundamental slide polynomial
definition + emph{},1702.04051#weak_dual.tex,,FALSE,"[<cit.>]
  For a weak composition a of length n, define the fundamental slide polynomial _a = _a(x_1,…,x_n) by
  
    _a = ∑_b ≥ a 
    (b)  refines (a) x_1^b_1⋯ x_n^b_n,

  where b ≥ a means b_1 + ⋯ + b_k ≥ a_1 + ⋯ + a_k for all k=1,…,n.
  ",fundamental slide polynomial
definition + textit{},1712.07702#On_perturbations_of_highly_connected_dyadic_matroids.tex,,FALSE,"
In the matrix given in the proof of the previous lemma, let F_i={d_i,e_i,f_i,g_i}. We will call each F_i a gadget .",gadget
definition + emph{},1405.6929#robust2911.tex,,FALSE,"[Gadget]
Let (H_0, H_i, L_i)^n  be an ear decomposition of a trigraph
and ℬ=ℬ(x,u) be a basic gadget.
A gadget 𝒢  (see Figure <ref>) of (H_0, H_i, L_i)^n associated to ℬ   
is the block of ears 
    𝒢=E_1(ℬ), E_2(ℬ), E_3, E_4(ℬ), D_1(ℬ), D_2(ℬ), D_3(ℬ)
 
of L_1, …, L_n, where  E_3 is the 3-ear on edge set E'_3(ℬ) ∪{x',x} with
 x' a neighbour of x not in V(E'_3(ℬ)).",gadget
definition + emph{},1108.2642#Draft-Jan2012.tex,,FALSE,"Given a set of forbidden patterns B and prefix p∈k, then v⃗∈ℕ^k+1 is a gap vector for prefix p with respect to B if for all n nBpw=∅ for all w such that g⃗(n,w)≥v⃗.  When this happens, we say that w satisfies the gap vector criterion for v⃗.",gap vector for prefix p with respect to B;satisfies;gap vector criterion
definition + emph{},1401.0337#EScompatibleStats-arxiv.tex,,FALSE,"Given a set of forbidden patterns B and prefix p, then v⃗ is a gap vector for prefix p with respect to B if, for all n, nBpw=∅ for any w such that g⃗(n,w)≥v⃗.  In this case we say that w satisfies the gap vector criterion for v⃗.",gap vector for prefix p with respect to B;satisfies;gap vector criterion
definition + emph{},1406.0456#1406.0456.tex,,FALSE,"Let G be a graph.  We say two disjoint edges uv and xy form a gap in G if G does not have an edge with one 
endpoint in {u,v} and the other in {x,y}.
A graph without gaps is called gap-free .  Equivalently, G is gap-free if and only if G^c contains no induced C_4.",gap;gap-free
definition + emph{},1110.2570#1110.2570.tex,,FALSE,"Let G be a graph.  We say two edges (w, x) and (y, z) form a gap in G if G does not have an edge with one 
endpoint in {w, x} and the other in {y, z}.
A graph without gaps is called gap-free .  Equivalently, G is gap-free if and only if G^c contains no induced C_4.",gap;gap-free
definition + emph{},1903.01673#main.tex,,FALSE,"[<cit.>]
For a skew shifted tableau with entries i_j or i'_j for i∈{1,2,…} where j is any symbol, we call i the gene family of an entry i_j or i'_j and j the gene . Two such tableaux are equivalent if they are the same up to a relabeling of the genes j.  An equivalence class T of these tableaux is a semistandard genomic tableau if:


  * The tableau T_ss obtained by forgetting the gene subscripts is semistandard and in canonical form.

  * Each gene j consists only of letters i_j and i'_j for some i, and its letters are consecutive in standardization order.

  * For every primed entry i'_j, there is an unprimed letter i_k preceding it in reading order from the same family i but different gene k≠ j.

  * No two squares of the same gene are horizontally or vertically adjacent.

The K-theoretic content of T is (c_1, …, c_r) where c_i is the number of genes in the i-th family. Finally, T is ballot if it is semistandard and has the following property:


  (*) Let T' be any genomic tableau obtained by deleting, within each gene family of T, all but one of every gene. Let T'_ss be the tableau obtained by deleting the corresponding entries of T_ss. Then the reading word of T'_ss is ballot for all T' obtained in this way.
",gene family;gene
definition + emph{},1602.02375#monodromy-schubert-curves-correctedfinal.tex,,FALSE,"[<cit.>]
Let T be a genomic tableau with entries i_j. We call i the gene family and j the gene . First, we say T is semistandard if:


  * The tableau T_ss obtained by forgetting the genes is semistandard (that is, each gene family forms a horizontal strip);

  * Within each gene family, the genes form a Pieri strip.

We say the K-theoretic content of T is (c_1, …, c_r) if c_i is the max-content of the Pieri strip of genes in the i-th gene family. Finally, we say T is ballot if it is semistandard and has the following property:


  (*) Let T' be any genomic tableau obtained by deleting, within each gene family of T, all but one of every repeated gene. Let T'_ss be the tableau obtained by deleting the corresponding entries of T_ss. Then the reading word of T'_ss is ballot.
",gene family;gene
definition + emph{},1305.1752#1305.1752.tex,,FALSE,"
We say that a subspace P ⊂ U of codimension k is in general position (with respect to the hyperplane arrangement ),
if x ∩ P^⊥ = {0} for all x ∈ L_k, and in addition, the hyperplanes π_P (x), x∈ L_k+1 of P^*
are distinct.",general position
definition + textit{},1907.09331#semi-general-suplinear-bound.tex,,FALSE,"A set M∈𝔐(2,n) is called to be in general position ,
	if no four points of M are concyclic.
	The set of all planar integral point sets in general position
	is denoted by 𝔐̇(2,n).",general position
definition + textit{},1805.00115#cross-ratio_counting.tex,,FALSE,"[General position I]
Let p_1,…,p_n be points in ℝ^2 and λ'_1,…,λ'_l be cross-ratios that have pairwise distinct pairs of unordered numbers. These conditions are in general position if ∏_j=1^l_λ'_j^*( |λ'_j|)·∏_i=1^n_i^*( p_i)·ℳ_0,n(ℝ^2,Δ) is a nonempty finite set that is contained in the union of the interiors of top-dimensional polyhedra of ℳ_0,n(ℝ^2,Δ) and n+l=|Δ|-1. We say that p_1,…,p_n',λ_1,…,λ_l' with n'+l'<|Δ|-1 are in general position if there are p_n'+1,…,p_n,λ'_l'+1,…,λ'_l such that n+l=|Δ|-1 and p_1,…,p_n,λ'_1,…,λ'_l are in general position. If p_1,…,p_n,λ'_1,…,λ'_l with n+l=|Δ|-1 are in general position, we define

    N_0,n(λ'_1,…,λ'_l):=(∏_j=1^l_λ'_j^*( |λ'_j|)·∏_i=1^n_i^*( p_i)·ℳ_0,n(ℝ^2,Δ)),

the number of rational tropical curves of degree Δ satisfying the point conditions p_i and the cross-ratio conditions λ'_i. Denote by 𝒞_0,n( λ'_1,…,λ'_l) the set of tropical curves contributing to N_0,n(λ'_1,…,λ'_l).",general position
definition + emph{},1411.3799#sampling.tex,,FALSE,"[projective lines in general position]
We say that a set of at most +1 projective lines in q is in general position if for any k ∈ [-1] no k+1 of them are contained in a k-flat.",general position
theorem + emph{},1206.0511#Polytope_numbers_and_their_properties.tex,,FALSE,"[Bruggersser <cit.>] Let P be a
polytope and 𝐱 be a point outside P. If point
𝐱 lies in general position with respect to P,
then the boundary complex 𝒞_∂ P of P has a
shelling such that the facets of P that are visible from
𝐱 come first.",general position
definition + textit{},1907.11099#1907.11099.tex,,FALSE,"
For positive integers n and k satisfying 2 ≤ 2k <n, the generalised Petersen graph P_n,k is defined by 
    V(P_n,k) = {u_0,u_1,...,u_n-1,v_0,v_1,...,v_n-1} and E(P_n,k) = {u_iu_i+1,u_iv_i,v_iv_i+k | i=0,1,...,n-1},
 where the subscripts are read modulo n.",generalised Petersen graph
definition + textit{},1905.05548#1905.05548.tex,,FALSE,"
Let n and k be positive integers such that  2 ≤ 2k <n. Then the generalised Petersen graph P_n,k is defined to have the vertex set V(P_n,k) = {u_i, v_i | i∈[n]}, and edge set [4] E(P_n,k) = {u_iu_i+1, v_iv_i+k,u_iv_i | i∈[n]}, where [n]={0,1,...,n-1} and the subscripts are read modulo n.",generalised Petersen graph
definition + emph{},1911.09444#1911.09444.tex,,FALSE,"Let A be an abelian group of even order and of exponent greater than 2, and let y be an involution of A. The generalised dicyclic group (A,y,x) is the group ⟨ A,x| x^2=y, a^x=a^-1, ∀ a ∈ A⟩. A group is called generalised dicyclic if it is isomorphic to some (A,y,x). When A is cyclic, (A,y,x) is called a dicyclic or generalised quaternion group .


We let ι̅_A:(A,y,x)→(A,y,x) be the mapping defined by (ax)^ι̅_A=ax^-1 and a^ι̅_A=a, for every a∈ A. In particular, ι̅_A is an automorphism of (A,y,x).
The role of the label “A” in ι̅_A seems unnecessary, however we use this label to stress one important fact. An abstract group R might be isomorphic to (A,y,x), for various choices of A. Therefore, since the automorphism ι̅_A depends on A and since we might have more than one choice of A, we prefer a notation that emphasizes this fact.",generalised dicyclic group;generalised dicyclic;dicyclic;generalised quaternion group
definition + emph{},1310.0618#1310.0618.tex,,FALSE,"Let A be an abelian group of even order and of exponent greater than 2, and let y be an involution of A. The generalised dicyclic group (A,y,x) is the group ⟨ A,x| x^2=y, a^x=a^-1, ∀ a ∈ A⟩. A group is called generalised dicyclic if it is isomorphic to some (A,y,x). When A is cyclic, (A,y,x) is called a dicyclic or generalised quaternion group .",generalised dicyclic group;generalised dicyclic;dicyclic;generalised quaternion group
definition + emph{},1508.02020#ejcBalkovaFlorianPeriodicity.tex,,FALSE,"Let 𝒜 be an alphabet and G be the set of all involutory antimorphisms on 𝒜^*.
Let Δ = δ_1 δ_2 … and Θ = ϑ_1 ϑ_2 …, where δ_i ∈𝒜 and ϑ_i ∈ G for all i ∈ℕ. The infinite generalized pseudostandard word 𝐮(Δ, Θ) generated by the generalized pseudopalindromic closure is the word whose prefixes w_n are obtained from the recurrence relation

    w_n+1 = (w_n δ_n+1)^ϑ_n+1,
 
    w_0 = ε.
 The sequence Λ = (Δ, Θ) is called the directive bi-sequence of the word 𝐮(Δ, Θ).",generalized pseudostandard word;directive bi-sequence
definition + textit{},1807.07248#NormalizationTernary.tex,,FALSE,"
		Let 𝒜  be an alphabet and G be the set of all involutory antimorphisms on ^*. Let Δ = δ_1 δ_2 … and Θ = ϑ_1 ϑ_2 …, where δ_i ∈ and ϑ_i ∈ G for all i ∈. The infinite generalized pseudostandard word  is the word whose prefixes w_n are obtained from the recurrence relation
		
    w_n+1   = (w_n δ_n+1)^ϑ_n+1,
    
    			w_0    = ε.

		The sequence  is called the directive bi-sequence of the word .",generalized pseudostandard word;directive bi-sequence
definition + emph{},0807.3115#0807.3115.tex,,FALSE,"Let α,β be partitions of n. A generalized α-tableau is produced by replacing each dot in the Young diagram of α with a number between 1 and n; if a generalized α-tableau has β_i i's (1 ≤ i ≤ n) it is said to have content β. A generalized α-tableau is said to be semistandard if the numbers are non-decreasing along each row and strictly increasing down each column.",generalized;tableau;content;semistandard
definition + emph{},1106.0725#1106.0725.tex,,FALSE,"Let λ,μ be partitions of n. A generalized λ-tableau is produced by placing a number between 1 and n in each space of the Young diagram of λ; if it has μ_i i's (1 ≤ i ≤ n), then it is said to have content μ. A generalized λ-tableau is said to be semistandard if the numbers are non-decreasing along each row and strictly increasing down each column.",generalized;tableau;content;semistandard
definition + emph{},1403.6414#languages_of_lossless_seeds.tex,,FALSE,"
	Consider a seed Q and an (ℓ,k)-generating set G.
	By S(G), we denote
	the subshift S_X of finite type given by X = ^ℓ+1 G.	
	We say that a seed Q is generated by G if Q∈(S(G)).",generated
definition + emph{},1810.03741#sunflowers.tex,,FALSE,"Let  be a code, and let {T_j} be a collection of trunks in . A trunk T⊆ is generated by {T_j} if T can be written as an intersection of various T_j.",generated
definition + textit{},1611.01061#truth.table.tex,,FALSE,"[Generate]
    If U is a Z_n instance of length 2^n-1 we say the set of
    Z_n+1 instances of the form U q_i U is generated by U.
    From Lemma <ref> we see that each instance generates a set of
    size q.",generated
definition + emph{},1411.3624#ncnoSchurposOct14.tex,,FALSE,"
The generating function of a D_0 graph  is

    ∑_w∈() Q_(w)(𝐱),

where Q_(w)(𝐱) denotes Gessel's fundamental quasisymmetric function <cit.>, (w) is the descent set of w, and () denotes the vertex set of .",generating function
definition + emph{},1306.2644#1306.2644.tex,,FALSE,"
Let +̌ be a lattice translate, so that  is any integer sublattice of ^d and $̌ is an integer vector.  
We define its generating function  by

    Θ_()=∑_∈ + ≥ 0Χ_ () := 
    ∑_∈ + ≥ 0^ .",generating function
definition + emph{},1307.0124#combinatorics-geometry-transportation-polytopes-update.tex,,FALSE,"A p × q classical transportation polytope P is generic if

    ∑_i ∈ Y u_i ≠∑_j ∈ Z v_j.

for every non-empty proper subset Y ⊊ [p] and non-empty proper subset Z ⊊ [q]. (Of course, due to (<ref>), we must disallow the case where Y = [p] and Z = [q].)",generic
definition + emph{},1909.05435#HigherSecondaryPolytopes.tex,,FALSE,"We say that a height vector ∈^n is generic (for ) if it does not belong to $̋. In this case, we write∈.",generic
definition + emph{},1207.7002#AMSW2013.tex,,FALSE,"
    We say that Γ_g is generic if none of ℓ_i/m_i can
	be written as the ratio of two positive integers with sum at most 2g-2.",generic
definition + emph{},1109.1082#GCvoting.tex,,FALSE,A weight vector is called generic if the sums w_A are distinct for each coalition A.,generic
definition + emph{},1701.05532#tusnady-v2.tex,,FALSE,"
We will say that a polytope B in ^d is generic if
there exists a sequence of faces F_1 ⊆ F_3 ⊆…⊆ F_d-1 of B such that F_j is a face of dimension j,
for every j ≤ d-2 the face F_j is not parallel to any other face
of F_j+1, and the facet F_d-1 is not parallel to any other
facet of B.",generic
definition + emph{},1701.02353#tritangents.tex,,FALSE,"A  tropical curve is a metric  graph Γ embedded in ℝ^n, together with an integer weight function on the edges, such that


  * The direction vector of each edge is rational.

  * At each vertex, the weighted sum of the primitive integral vectors of the edges
around the vertex is zero.

The genus of a tropical curve is the first Betti number H^1(Γ,ℤ) of the graph.",genus
definition + emph{},1804.01496#surfaceTutte.tex,,FALSE," Let M be a connected map embedded in a surface Σ. The genus g(M) of M is the genus of Σ. 
The Euler genus s(M) of M is the  Euler genus of Σ, i.e., 
    s(M)= 2g(M)    
    
      g(M)

The signed genus g̅(M) of M is the parameter

    g̅(M)=2s(M)-3g(M)= g(M)    
    
      -g(M)
",genus
definition + textit{},1912.11427#1912.11427.tex,,FALSE,"
A distance-regular graph X is called geometric if there exists a collection 𝒞 of Delsarte cliques such that every edge of X lies in exactly one clique of 𝒞.",geometric
definition + textit{},1802.06959#1802.06959.tex,,FALSE,"
A distance-regular graph X is called geometric if there exists a collection 𝒞 of Delsarte cliques such that every edge of X lies in precisely one clique of 𝒞.",geometric
definition + textit{},1912.10571#1912.10571.tex,,FALSE,"
A distance-regular graph X is called geometric if there exists a collection 𝒞 of Delsarte cliques such that every edge of X lies in precisely one clique from 𝒞.",geometric
definition + emph{},1104.4152#JAC_Repost.tex,,FALSE,"A lattice L is called geometric if (1) it is semimodular (i.e. 
    (p) + (q) ≥(p ∧ q) + (p ∨ q)
 for all p,q ∈ L); and (2) every element is the join of atoms.",geometric
definition + emph{},1508.02620#1508.02620.tex,,FALSE,"For every n, the geometric tree graph 𝒢_n, is the graph
which has as vertices all the geometric trees of order n on a given set of vertices 
(in convex position), and there is an edge
between trees T and S if there exist edges e of T and f of S such that S = T - e + f, 
namely S is obtained by removing e from T and adding f.
Geometric tree graphs were studied by Hernando, Hurtado, Marquez, Mora and Noy <cit.>.",geometric tree graph
definition + emph{},1412.8400#paper6.tex,,FALSE,"Let P be a finite point set in general position in the plane. The geometric tree graph G(P) is defined
as follows. The vertices of G(P) are the simple (i.e., non-crossing) spanning trees (SSTs)
of K(P). Two such vertices are adjacent in G(P) if they differ in exactly two edges, i.e.,
if one can be obtained from the other by deleting an edge and adding another edge.",geometric tree graph
theorem + textit{},1406.2714#1406.2714.tex,,FALSE,"[(Gluing of hypertrees)]
Let ℋ=(V,ℰ) be an S(2,l,n)
 Steiner system (i.e., every pair of points is contained in exactly one edge and m=|ℰ|=n2/l2).
Let k≥ 3, and suppose that for each E_i∈ℰ, a k-uniform hypergraph ℱ_i=(E_i, ℰ_i) is given.


  * If for all i=1,2,…, m |ℰ_i| = αl2, then |⋃_i=1^m ℰ_i| = αn2.

  * If for all i=1,2,…, m ℱ_i is an edge-minimal hypertree, then 
ℱ=(V,⋃_i=1^m ℰ_i) is also an edge-minimal hypertree.

In this case, the edge-minimal hypertree ℱ is called the gluing of the edge-minimal hypertrees {ℱ_i: E_i∈ℰ} along the Steiner system ℋ.
",gluing
definition + emph{},1209.3996#Walks_Surfaces_Renumbered.tex,,FALSE,"Let γ^1∈ be a closed nonbacktracking walk,
  γ^2∈ be a closed loop, and assume γ^1
  and γ^2 edge intersect. The gluing of γ^1
  and γ^2 is the walk γ defined by
  
    γ = (γ^1_1,…,γ^1_s,γ^2_1,
        …, γ^2_γ^2, γ^1_s+1,…,
        γ^1_γ^1)

  where γ^1_s is the first edge in γ^1 that is
  contained in the loop γ^2 and (γ^2_1,…,
  γ^2_γ^2) is the representative of
  γ^2 with initial (oriented) edge γ^1_s.",gluing
definition + emph{},0801.2179#hereditary_submit.tex,,FALSE,"[Quadruples]  If V is a vertex set, G ≤(V,V), a_k ∈ A_=k^(V), and z_<k∈ Z_<k^(V), we say that (V,G,a_k,z_<k) is good if Q^(V)(z_<k)(C_V,G,a_k) > 0, and bad otherwise.  We define the probability measure ρ_V,G,a_k,z_<k∈( (Z_=k^(V))^G ) to equal the conditioned measure (Q^(V)(z_<k)|C_V,G,a_k) (as defined in Appendix <ref>) if (V,G,a_k,z_<k) is good, and δ_z_*^(V)(ϕ) otherwise.",good;bad
definition + emph{},1809.07736#main.tex,,FALSE,"Using the constants from Remark <ref> and given p>1 integer, we say an arc A is good in the arc-system 𝒜, if to at least half of the vertices v∈ A we can assign a set of 
    4b_p-1x^(p-1)(p-2)/2
 arcs in N_𝒜(v), each arc of 𝒜 being assigned to at most one v∈𝒜. If an arc is not good we call it bad .",good;bad
definition + emph{},1901.03743#DGMOSS.tex,,FALSE,A k-orbigraph Ω is said to be good if it can be obtained as the quotient of a finite k-regular graph Γ via an equitable partition on Γ.  If an orbigraph is not good it is called bad .,good;bad
definition + emph{},1710.08352#sumfree_colorings_journal_version.tex,,FALSE,"
A coloring φ∈Φ_5(A) is called good  
 if for each i∈[5] we have ϕ^-1(i)⊂ L_i for some largest sum-free set L_i of G, and


  * the tuple ℒ=(L_1,…,L_5) consists of one 4-atom and two 3-atoms, or

  * the tuple ℒ=(L_1,…,L_5) consists
of two 2-atoms, four 3-atoms and one 4-atom.

 Otherwise ϕ is called a bad coloring.",good;bad
definition + emph{},1805.05932#1805.05932.tex,,FALSE,"Let w_G be as above. We say that an encoding of the state w_G(t) is good if λ_uv(t)≤ 0 whenever w_u(t)≥ w_v(t). Otherwise, we say that the encoding is bad .",good;bad
definition + emph{},1112.2801#1112.2801.tex,,FALSE,"
Let α be a countable ordinal and ≼ a quasi-ordering on
 Q. We say a function f:B→ Q is good with respect
 to ≼, if there are some s,t∈ B such that s◃ t
 and f(s)≼ f(t). Otherwise we say f is bad .
We say ≼ an α-wqo, if for every barrier
 with (B)≤α  every function f:B→ Q is good with
 respect to ≼. If ≼ is an
 α-wqo for all countable ordinal α, we call
 ≼ a bqo.",good;bad
definition + emph{},1611.01200#1611.01200.tex,digraph G,TRUE,A graph is a digraph G in which the edge relation E(G) is symmetric.,graph
definition + emph{},1801.05005#1801.05005.tex,,FALSE,"   The graph of a permutation π∈𝒮_n is the set of points 
    {(i,π_i) | 1 ≤ i ≤ n}.
",graph
definition + emph{},1010.0219#burnt-pancakes-polynomial.tex,,FALSE,"The graph Γ(π) of a permutation π has vertex set {1,2,…, n}, and  contains an arc (i,j) whenever π_i=j.",graph
definition + textit{},1107.4980#CM.tex,,FALSE,"
Let Δ be a (d-1)-dimensional pure simplicial complex. For any i=1,…,n we define the graph G^i(Δ) as follow:


  - The set of vertices is V(G^i(Δ))={V_i}∪{F∈ (Δ): v_i∉ F}, where V_i is a new vertex.

  - The set of egdes  is

    E(G^i(Δ))=
     {{F,G}:  |F∩ G|=d-1}∪


    {{V_i,F}: there exists a facet  G∋ v_i  and  |G∩ F|=d-1}.


The graph G^i(Δ) is called the v_i-graph of Δ.",graph
