term,def,file_name,extraction_rule,plain_text_def,plain_text_term,mentioned_proofwiki_terms
matroid polytope,"Given a matroid $M=([n],\B)$, the (basis) \emph{matroid polytope} $Q(M)$ of $M$ is the convex hull of the indicator vectors of the bases of $M$:
\[
Q(M) = \conv\{e_B \, : \, B \in \B\}.
\]
For any $B=\{b_1,\ldots,b_r\}\subseteq [n]$, 
by $e_B$ we mean $e_{b_1} + \cdots + e_{b_r}$,
where $\{e_1, \ldots, e_n\}$ is the standard basis of $\R^n$.",0710.4424#matroidsubdivsfinal.tex,definition + \emph{},"Given a matroid M=([n],), the (basis) matroid polytope Q(M) of M is the convex hull of the indicator vectors of the bases of M:

    Q(M) = {e_B   :   B ∈}.

For any B={b_1,…,b_r}⊆ [n], 
by e_B we mean e_b_1 + ⋯ + e_b_r,
where {e_1, …, e_n} is the standard basis of ^n.",matroid polytope,['Top']
matroid polytope,"\label{incid2}
%For $A\subseteq E(M)$, its incidence vector $e_A\in \{ 0,1\}^n$ is defined by $(e_A)_i=1 $ if and only if $a_i \subseteq A$.  
The \emph{matroid polytope} of $M$ is the convex hull of the incidence vectors of bases of $M$ in $\R^{n}$.",1301.4017#Deco0410.tex,definition + \emph{},"

The matroid polytope of M is the convex hull of the incidence vectors of bases of M in ^n.",matroid polytope,['Top']
matroid;bases;basis exchange axiom,"A \emph{matroid} $M$ is a pair $(E, \B)$ consisting of a finite set $E$ and a nonempty collection of subsets $\B=\B(M)$ of $E$, called the \emph{bases} of $M$, which satisfy the \emph{basis exchange axiom}: 
\begin{itemize}
\item If $B_1, B_2 \in \B$ and $b_1 \in B_1 - B_2$, then there exists $b_2 \in B_2 - B_1$ such that $(B_1 -  b_1) \cup b_2 \in \B$.
\end{itemize}",1310.4159#POM_arXiv.v3.tex,definition + \emph{},"A matroid M is a pair (E, ) consisting of a finite set E and a nonempty collection of subsets =(M) of E, called the bases of M, which satisfy the basis exchange axiom: 


  * If B_1, B_2 ∈ and b_1 ∈ B_1 - B_2, then there exists b_2 ∈ B_2 - B_1 such that (B_1 -  b_1) ∪ b_2 ∈.
",matroid;bases;basis exchange axiom,"['Base', 'Basis']"
matroid;bases;basis exchange axiom,"A \emph{matroid} $M$ is a pair $(E, \B)$ consisting of a finite set $E$ and a nonempty collection of subsets $\B=\B(M)$ of $E$, called the \emph{bases} of $M$, which satisfy the \emph{basis exchange axiom}: 
\begin{center}
 If $B_1, B_2 \in \B$ and $b_1 \in B_1 - B_2$, then there exists $b_2 \in B_2 - B_1$ such that $B_1 -  \{b_1\} \cup \{b_2\} \in \B$.
\end{center}",1308.2698#positroid-ncpartitions.tex,definition + \emph{},"A matroid M is a pair (E, ) consisting of a finite set E and a nonempty collection of subsets =(M) of E, called the bases of M, which satisfy the basis exchange axiom: 


 If B_1, B_2 ∈ and b_1 ∈ B_1 - B_2, then there exists b_2 ∈ B_2 - B_1 such that B_1 -  {b_1}∪{b_2}∈.

",matroid;bases;basis exchange axiom,"['Base', 'Basis']"
maximal intersecting family,A family $\mathcal{F}$ is said to be a \emph{maximal intersecting family} (in short MIF) if $\tr{\mathcal{F}}<\infty$ and $\mathcal{F}=\mathcal{F}^{\top}$. We use $\MIF{k}$ as a generic name for uniform MIF's with $\uk{\mathcal{F}}=k$.,1411.1480#1411.1480.tex,definition + \emph{},A family ℱ is said to be a maximal intersecting family (in short MIF) if ℱ<∞ and ℱ=ℱ^⊤. We use k as a generic name for uniform MIF's with ℱ=k.,maximal intersecting family,['Family']
maximal intersecting family,A family $\mathcal{F}$ is said to be a \emph{maximal intersecting family} (in short $MIF$) if $\tr{\mathcal{F}}<\infty$ and $\mathcal{F}=\mathcal{F}^{\top}$. We use $MIF(k)$ as a generic name for $MIF$'s with $\uk{\mathcal{F}}=k$.,1402.7158#1402.7158.tex,definition + \emph{},A family ℱ is said to be a maximal intersecting family (in short MIF) if ℱ<∞ and ℱ=ℱ^⊤. We use MIF(k) as a generic name for MIF's with ℱ=k.,maximal intersecting family,['Family']
meet,"[Meet of two templates]
Given two $k$-colouring templates $t$,~$t'$ of~$K_n$ which have at least~one realisation in common, we denote by $t\wedge t'$ the template with $(t\wedge t')(e) =t(e)\cap t'(e)$ for every $e\in E(K_n)$; we refer to $t\wedge t'$ as the \emph{meet} of $t$~and~$t'$.  More generally, given a set~$\mathcal{S}$ of $k$-colouring templates of~$K_n$ and
 %$k$-colouring template~$t'$ for~$K_n$, 
$t\in (2^{[k]}\setminus\{\emptyset\} )^{K_n}$ we denote by $\mathcal{S}\wedge t$ the collection~$\{s\wedge t: \ s\in\mathcal{S}\}$.",1801.05195#containerpaperarxivupdate.tex,definition + \emph{},"[Meet of two templates]
Given two k-colouring templates t, t' of K_n which have at least one realisation in common, we denote by t∧ t' the template with (t∧ t')(e) =t(e)∩ t'(e) for every e∈ E(K_n); we refer to t∧ t' as the meet of t and t'.  More generally, given a set 𝒮 of k-colouring templates of K_n and
 
t∈ (2^[k]∖{∅} )^K_n we denote by 𝒮∧ t the collection {s∧ t:  s∈𝒮}.",meet,['Meet']
meet,"[Meet of two templates]
Given two $k$-colouring templates $t$,~$t'$ of~$K_n$ which have at least~one realisation in common, we denote by $t\wedge t'$ the template with $(t\wedge t')(e) =t(e)\cap t'(e)$ for each $e\in E(K_n)$; we refer to $t\wedge t'$ as the \emph{meet} of $t$~and~$t'$.  More generally, given a set~$\mathcal{S}$ of $k$-colouring templates of~$K_n$ and a $k$-colouring template~$t'$ of~$K_n$, we denote by $\mathcal{S}\wedge t'$ the collection~$\{t\wedge t': \ t\in\mathcal{S}\}$.",1607.08152#masterdraftJuly14Andrew.tex,definition + \emph{},"[Meet of two templates]
Given two k-colouring templates t, t' of K_n which have at least one realisation in common, we denote by t∧ t' the template with (t∧ t')(e) =t(e)∩ t'(e) for each e∈ E(K_n); we refer to t∧ t' as the meet of t and t'.  More generally, given a set 𝒮 of k-colouring templates of K_n and a k-colouring template t' of K_n, we denote by 𝒮∧ t' the collection {t∧ t':  t∈𝒮}.",meet,['Meet']
minimal edge,"\label{def:minimal_edge}

Let $\mathcal{L}_d = \frac{1}{d} \mathbb{Z} \times \frac{1}{d} \mathbb{Z}$. A line segment $E$ with endpoints in $\mathcal{L}_d$ is said to be a \emph{$d$-minimal segment} if $E \cap \mathcal{L}_d$ consists precisely of the endpoints of $E$.",1412.0191#report_sept17.tex,definition[],"

Let ℒ_d = 1/dℤ×1/dℤ. A line segment E with endpoints in ℒ_d is said to be a d-minimal segment if E ∩ℒ_d consists precisely of the endpoints of E.",minimal edge,['Edge']
minimal edge,"\label{def:minimal_edge}

A line segment $E$ with endpoints in $\mathcal{L}_d$ is said to be a \emph{$d$-minimal segment} if $E \cap \mathcal{L}_d$ consists precisely of the endpoints of $E$.",1412.0196#discrete_equi_of_polygons.tex,definition[],"

A line segment E with endpoints in ℒ_d is said to be a d-minimal segment if E ∩ℒ_d consists precisely of the endpoints of E.",minimal edge,['Edge']
minor,"\label{def:matops}Let $A$ be an $X\times Y$ $\parf$-matrix. We say that $A'$ is a \emph{minor} of $A$ (notation: $A' \minorof A$) if $A'$ can be obtained from $A$ by a sequence of the following operations:
\begin{enumerate}
  \item Multiplying the entries of a row or column by an element of $\parf^*$;
  \item Deleting rows or columns;
  \item Permuting rows or columns (and permuting labels accordingly);
  \item Pivoting over a nonzero entry.
\end{enumerate}",0806.4487#pfconfinement-arxiv.tex,definition + \emph{},"Let A be an X× Y -matrix. We say that A' is a minor of A (notation: A'  A) if A' can be obtained from A by a sequence of the following operations:

  
  * Multiplying the entries of a row or column by an element of ^*;
  
  * Deleting rows or columns;
  
  * Permuting rows or columns (and permuting labels accordingly);
  
  * Pivoting over a nonzero entry.
",minor,['Minor']
minor,"[Graph minor] \label{def:minor}
%A  graph $H'$ is a \emph{minor} of undirected graph $H$, 
%if $H'$ can be obtained from $H$ by a sequence of the following  operations:
%\begin{description}[topsep=0.5ex,itemsep=0.1ex,labelindent=1em]
%	\item[Deletion.] Deleting an edge $(a,b)$;
%	\item[Contraction.] Contracting an edge $(a,b)$.
%\end{description}
%Contraction creates a new node instead of $a$ and $b$, whose set of neighbors is the union of $a$'s and $b$'s neighbors.
%",1711.01806#test.tex,definition + \emph{},"[Graph minor] 







",minor,['Minor']
minor,"\label{def:matops}Let $A$ be an $X\times Y$ $\parf$-matrix, such that $X\cap Y = \emptyset$. We say that $A'$ is a \emph{minor} of $A$ (notation: $A' \minorof A$) if $A'$ can be obtained from $A$ by a sequence of the following operations:
\begin{enumerate}
  \item Multiplying the entries of a row or column by an element of $\parf^*$;
  \item Deleting rows or columns;
  \item Permuting rows or columns (and permuting labels accordingly);
  \item Pivoting over a nonzero entry.
\end{enumerate}",0804.3263#pflifts-arxiv.tex,definition + \emph{},"Let A be an X× Y -matrix, such that X∩ Y = ∅. We say that A' is a minor of A (notation: A'  A) if A' can be obtained from A by a sequence of the following operations:

  
  * Multiplying the entries of a row or column by an element of ^*;
  
  * Deleting rows or columns;
  
  * Permuting rows or columns (and permuting labels accordingly);
  
  * Pivoting over a nonzero entry.
",minor,['Minor']
mobile;bipartite mobile;degree;rooted,"\label{def:mobiles}
A \emph{mobile} is a planar tree -- that is, a map with a single face -- such that there are two kinds of vertices (black and white), edges only occur as black--black edges or black--white edges, and black vertices additionally have so-called ``legs'' attached to them (which are not considered edges), whose number equals the number of white neighbour vertices. A \emph{bipartite mobile} is  a mobile without black--black edges. The \emph{degree} of a black vertex is the number of half-edges plus the number of legs that are 
attached to it. A mobile is called \emph{rooted} if an edge is distinguished and oriented.",1808.05944#CDK-CPC-submission__arXiv_version_.tex,definition + \emph{},"
A mobile is a planar tree – that is, a map with a single face – such that there are two kinds of vertices (black and white), edges only occur as black–black edges or black–white edges, and black vertices additionally have so-called “legs” attached to them (which are not considered edges), whose number equals the number of white neighbour vertices. A bipartite mobile is  a mobile without black–black edges. The degree of a black vertex is the number of half-edges plus the number of legs that are 
attached to it. A mobile is called rooted if an edge is distinguished and oriented.",mobile;bipartite mobile;degree;rooted,"['Root', 'Degree']"
mobile;bipartite mobile;degree;rooted,"\label{def:mobiles}
A \emph{mobile} is a planar tree -- that is, a map with a single face -- such that there are two kinds of vertices (black and white), edges only occur as black--black edges or black--white edges, and black vertices additionally have so-called ``legs'' attached to them (which are not considered edges), whose number equals the number of white neighbor vertices. \\
A \emph{bipartite mobile} is  a mobile without black--black edges. \\
The \emph{degree} of a black vertex is the number of half-edges plus the number of legs that are 
attached to it. \\
A mobile is called \emph{rooted} if an edge is distinguished and oriented.",1605.04206#CDK-final.tex,definition + \emph{},"
A mobile is a planar tree – that is, a map with a single face – such that there are two kinds of vertices (black and white), edges only occur as black–black edges or black–white edges, and black vertices additionally have so-called “legs” attached to them (which are not considered edges), whose number equals the number of white neighbor vertices. 

A bipartite mobile is  a mobile without black–black edges. 

The degree of a black vertex is the number of half-edges plus the number of legs that are 
attached to it. 

A mobile is called rooted if an edge is distinguished and oriented.",mobile;bipartite mobile;degree;rooted,"['Root', 'Degree']"
modified Zykov graph,"[Definition~19 of~\cite{ChromThresh}, Modified Zykov graphs]\label{def:Zykov}
Let $T_1,\ldots,T_\ell$ be (disjoint) trees, and let $T_j$ have bipartition $A_j
\dcup B_j$. We define~$Z_\ell(T_1,\ldots,T_\ell)$ to be the graph on
vertex set $$V\big( Z_\ell(T_1,\ldots,T_\ell) \big) := \bigg( \bigcup_{j \in
[\ell]} A_j \cup B_j \bigg) \cup \big\{ u_I \colon I \subset [\ell] \big\}$$ and
with edge set
\begin{equation*}
E\big( Z_\ell(T_1,\ldots,T_\ell) \big) \, := \, \bigcup_{j = 1}^\ell
\Bigg(E(T_j) \cup \bigcup_{j \in I \subset [\ell]} K\big( u_I,A_j \big) \cup
\bigcup_{j \not\in I \subset [\ell]} K\big( u_I,B_j \big) \Bigg).
\end{equation*}
For each $r \ge 3$ and $t \in \NATS$, the \emph{modified Zykov graph}
$Z_\ell^{r,t}(T_1,\ldots,T_\ell)$ is the graph obtained from
$Z_\ell(T_1,\ldots,T_\ell)$ by performing the following two operations:
\begin{enumerate}[label=\abc]
  \item Add vertices $W = \{ w_1, \dots, w_{r-3} \}$, and all edges with
    an endpoint in $W$.
  \item Blow up each vertex $u_I$ with $I \subset [\ell]$ and each
    vertex $w_j$ in $W$ to a set $S_I$ or $S'_j$, respectively, of size $t$.
\end{enumerate}
Finally, we shall write $Z_\ell^{r,t}$ for the modified Zykov graph obtained
when each tree $T_i$, $i\in[\ell]$, is a single edge; that is,
$Z_\ell^{r,t} = Z_\ell^{r,t}(e_1,\ldots,e_\ell)$.",1508.03870#RCTdense.tex,definition + \emph{},"[Definition 19 of <cit.>, Modified Zykov graphs]
Let T_1,…,T_ℓ be (disjoint) trees, and let T_j have bipartition A_j
 B_j. We define Z_ℓ(T_1,…,T_ℓ) to be the graph on
vertex set 
    V( Z_ℓ(T_1,…,T_ℓ) ) := ( ⋃_j ∈
    [ℓ] A_j ∪ B_j ) ∪{ u_I  I ⊂ [ℓ] }
 and
with edge set

    E( Z_ℓ(T_1,…,T_ℓ) )   :=  ⋃_j = 1^ℓ(E(T_j) ∪⋃_j ∈ I ⊂ [ℓ] K( u_I,A_j ) ∪⋃_j ∉I ⊂ [ℓ] K( u_I,B_j ) ).

For each r ≥ 3 and t ∈, the modified Zykov graph
Z_ℓ^r,t(T_1,…,T_ℓ) is the graph obtained from
Z_ℓ(T_1,…,T_ℓ) by performing the following two operations:

  
  * Add vertices W = { w_1, …, w_r-3}, and all edges with
    an endpoint in W.
  
  * Blow up each vertex u_I with I ⊂ [ℓ] and each
    vertex w_j in W to a set S_I or S'_j, respectively, of size t.

Finally, we shall write Z_ℓ^r,t for the modified Zykov graph obtained
when each tree T_i, i∈[ℓ], is a single edge; that is,
Z_ℓ^r,t = Z_ℓ^r,t(e_1,…,e_ℓ).",modified Zykov graph,['Graph']
modified Zykov graph,"[Modified Zykov graphs]\label{def:Zykov}
Let $T_1,\ldots,T_\ell$ be (disjoint) trees, and let $T_j$ have bipartition $A_j
\dcup B_j$. We define~$Z_\ell(T_1,\ldots,T_\ell)$ to be the graph on
vertex set $$V\big( Z_\ell(T_1,\ldots,T_\ell) \big) := \bigg( \bigcup_{j \in
[\ell]} A_j \cup B_j \bigg) \cup \big\{ u_I \colon I \subset [\ell] \big\}$$ and
with edge set
\begin{equation*}
E\big( Z_\ell(T_1,\ldots,T_\ell) \big) \, := \, \bigcup_{j = 1}^\ell
\Bigg(E(T_j) \cup \bigcup_{j \in I \subset [\ell]} K\big( u_I,A_j \big) \cup
\bigcup_{j \not\in I \subset [\ell]} K\big( u_I,B_j \big) \Bigg).
\end{equation*}
For each $r \ge 3$ and $t \in \NATS$, the \emph{modified Zykov graph}
$Z_\ell^{r,t}(T_1,\ldots,T_\ell)$ is the graph obtained from
$Z_\ell(T_1,\ldots,T_\ell)$ by performing the following two operations:
\begin{enumerate}[label=\abc]
  \item Add vertices $W = \{ w_1, \dots, w_{r-3} \}$, and all edges with
    an endpoint in $W$.
  \item Blow up each vertex $u_I$ with $I \subset [\ell]$ and each
    vertex $w_j$ in $W$ to a set $S_I$ or $S'_j$, respectively, of size $t$.
\end{enumerate}
Finally, we shall write $Z_\ell^{r,t}$ for the modified Zykov graph obtained
when each tree $T_i$, $i\in[\ell]$, is a single edge; that is,
$Z_\ell^{r,t} = Z_\ell^{r,t}(e_1,\ldots,e_\ell)$.",1108.1746#ChromaticThreshold.tex,definition + \emph{},"[Modified Zykov graphs]
Let T_1,…,T_ℓ be (disjoint) trees, and let T_j have bipartition A_j
 B_j. We define Z_ℓ(T_1,…,T_ℓ) to be the graph on
vertex set 
    V( Z_ℓ(T_1,…,T_ℓ) ) := ( ⋃_j ∈
    [ℓ] A_j ∪ B_j ) ∪{ u_I  I ⊂ [ℓ] }
 and
with edge set

    E( Z_ℓ(T_1,…,T_ℓ) )   :=  ⋃_j = 1^ℓ(E(T_j) ∪⋃_j ∈ I ⊂ [ℓ] K( u_I,A_j ) ∪⋃_j ∉I ⊂ [ℓ] K( u_I,B_j ) ).

For each r ≥ 3 and t ∈, the modified Zykov graph
Z_ℓ^r,t(T_1,…,T_ℓ) is the graph obtained from
Z_ℓ(T_1,…,T_ℓ) by performing the following two operations:

  
  * Add vertices W = { w_1, …, w_r-3}, and all edges with
    an endpoint in W.
  
  * Blow up each vertex u_I with I ⊂ [ℓ] and each
    vertex w_j in W to a set S_I or S'_j, respectively, of size t.

Finally, we shall write Z_ℓ^r,t for the modified Zykov graph obtained
when each tree T_i, i∈[ℓ], is a single edge; that is,
Z_ℓ^r,t = Z_ℓ^r,t(e_1,…,e_ℓ).",modified Zykov graph,['Graph']
modular;modular;modular;index,"\label{dfn:modular}
%   A multiset $\alpha$ in $\PG(R^k_R)$ is said to be \emph{modular} if
%   there exists $r\in\Q$ such that for all points $\vek{g}R$ of
%   $\PG(R^k_R)$ either $\alpha(\vek{g}R)=0$ or
%   $\alpha(\vek{g}R)=r\abs{\vek{g}R^\times}$.  A code $C\leq{}_RR^n$ is
%   said to be \emph{modular} if it is associated with a modular
%   multiset $\alpha_C$ in $\PG(R^k_R)$.  
  
  A linear code $C\leq{}_RR^n$ is said to be \emph{modular} if there exists
  $r\in\Q$ such that for all points $\vek{g}R$ of $\PG(R^k_R)$ either
  $\alpha_C(\vek{g}R)=0$ or
  $\alpha_C(\vek{g}R)=r\abs{\vek{g}R^\times}$. The number $r$ is
  called the \emph{index} of $C$.",1401.7135#1401.7135.tex,definition + \emph{},"






  
  A linear code C≤_RR^n is said to be modular if there exists
  r∈ such that for all points gR of (R^k_R) either
  α_C(gR)=0 or
  α_C(gR)=rgR^×. The number r is
  called the index of C.",modular;modular;modular;index,['Index']
modular;modular;modular;index,"\label{dfn:modular}
%   A multiset $\alpha$ in $\PG(R^k_R)$ is said to be \emph{modular} if
%   there exists $r\in\Q$ such that for all points $\vek{g}R$ of
%   $\PG(R^k_R)$ either $\alpha(\vek{g}R)=0$ or
%   $\alpha(\vek{g}R)=r\abs{\vek{g}R^\times}$.  A code $C\leq{}_RR^n$ is
%   said to be \emph{modular} if it is associated with a modular
%   multiset $\alpha_C$ in $\PG(R^k_R)$.  
  
  A code $C\leq{}_RR^n$ is said to be \emph{modular} if there exists
  $r\in\Q$ such that for all points $\vek{g}R$ of $\PG(R^k_R)$ either
  $\alpha_C(\vek{g}R)=0$ or
  $\alpha_C(\vek{g}R)=r\abs{\vek{g}R^\times}$. The number $r$ is
  called the \emph{index} of $C$.",1401.7414#1401.7414.tex,definition + \emph{},"






  
  A code C≤_RR^n is said to be modular if there exists
  r∈ such that for all points gR of (R^k_R) either
  α_C(gR)=0 or
  α_C(gR)=rgR^×. The number r is
  called the index of C.",modular;modular;modular;index,['Index']
monotone,"An alignment $\mathcal{F}$ defined on a set $X$ is called a \emph{monotone} alignment if there is a total ordering $x_1<x_2<\dots<x_n$ such that $\{x_1, x_2, \dots, x_i\}\in\mathcal{F}$ for all $i, 1\leq i \leq n$, and these sets are the only elements of $\mathcal{F}$.",1609.00092#ConvRepr0831.tex,definition + \emph{},"An alignment ℱ defined on a set X is called a monotone alignment if there is a total ordering x_1<x_2<…<x_n such that {x_1, x_2, …, x_i}∈ℱ for all i, 1≤ i ≤ n, and these sets are the only elements of ℱ.",monotone,['Monotone']
monotone,"\RM We say that a path complex $P$ is \emph{monotone} , if there is an
injective real-valued function on the vertex set of $P$ that is strictly
monotone increasing along any path from $P$.",1207.2834#dforms.tex,definition + \emph{},"We say that a path complex P is monotone , if there is an
injective real-valued function on the vertex set of P that is strictly
monotone increasing along any path from P.",monotone,['Monotone']
monotone,"Weight sequence $\mathbf{w}$ is \emph{monotone} in degree sequence $\mathbf{d}$, if
from $d_i, d_j\ge 2$, $i<j$, it follows that $\mu_i \ge \mu_j$.",1705.04291#MaximizeVWWI_AMC.tex,definition + \emph{},"Weight sequence 𝐰 is monotone in degree sequence 𝐝, if
from d_i, d_j≥ 2, i<j, it follows that μ_i ≥μ_j.",monotone,['Monotone']
monotone,"\label{defn:monotone}
A configuration is called \emph{monotone} 
% non-increasing monotone
if it is weakly decreasing, i.e. if $\lambda_i \geq \lambda_j$
whenever $i \leq j$.",1310.8088#mancala.arXiv-2.tex,definition + \emph{},"
A configuration is called monotone 

if it is weakly decreasing, i.e. if λ_i ≥λ_j
whenever i ≤ j.",monotone,['Monotone']
monotone,"[Multicolour monotonicity]
An order-hereditary property $\mathcal{P}$ of $k$-colourings is \emph{monotone} with respect to colour $i\in[k]$ if whenever $c$ is a $k$-colouring of~$K_n$ which lies in $\mathcal{P}$ and $e$ is any edge of~$K_n$, the colouring~$\tilde{c}$ obtained from $c$ by changing the colour of~$e$ to $i$ also lies in $\mathcal{P}$.",1607.08152#masterdraftJuly14Andrew.tex,definition + \emph{},"[Multicolour monotonicity]
An order-hereditary property 𝒫 of k-colourings is monotone with respect to colour i∈[k] if whenever c is a k-colouring of K_n which lies in 𝒫 and e is any edge of K_n, the colouring c̃ obtained from c by changing the colour of e to i also lies in 𝒫.",monotone,['Monotone']
monotone,"Let $\cwm$ be the set of monotone kernels on $\oi$, \ie,
the set of all symmetric measurable functions $W:\oii\to\oi$ that satisfy \eqref{q2}.

Let $\cum$ be the
corresponding class of graph limits, \ie, the class of graph limits that can
be represented as $\gG_W$ for some $W\in\cwm$. We call these graph limits
\emph{monotone} .",1101.4296#1101.4296.tex,definition + \emph{},"Let  be the set of monotone kernels on , ,
the set of all symmetric measurable functions W:→ that satisfy (<ref>).

Let  be the
corresponding class of graph limits, , the class of graph limits that can
be represented as _W for some W∈. We call these graph limits
monotone .",monotone,['Monotone']
monotone,"Weights $\mu$ are \emph{monotone} in degrees $d$ if for all $i, j \in V$ from $1 <
d_i < d_j$ it follows that $\mu_i \le \mu_j$.\footnote{We omit here the technical
assumption $\mu_i>0 \Leftrightarrow d_i=1$ imposed in
\cite{goubkomiloserdov2016wiener} to simplify the proofs.}",1808.06199#GoubkoKuznetsov.tex,definition + \emph{},"Weights μ are monotone in degrees d if for all i, j ∈ V from 1 <
d_i < d_j it follows that μ_i ≤μ_j.[We omit here the technical
assumption μ_i>0 ⇔ d_i=1 imposed in
<cit.> to simplify the proofs.]",monotone,['Monotone']
monotone,"[Monotone splitting sequence]
Let $H$ be a planar graph and let $\phi$ be a drawing of $H$ into the plane.
A $(H,\phi)$-splitting sequence $\sigma$ is called \emph{monotone} if the following condition is satisfied.
Let $v \in V(H)$ be an arbitrary vertex.
Let $E_v$ be the set of edges incident to $v$ in $H$.
Then, for any pair $p,q\in \sigma$ of splittings performed   on $v$ the partitions of $E_v$ induced by $p$ and $q$ are non-crossing.",1412.1792#main.tex,definition + \emph{},"[Monotone splitting sequence]
Let H be a planar graph and let ϕ be a drawing of H into the plane.
A (H,ϕ)-splitting sequence σ is called monotone if the following condition is satisfied.
Let v ∈ V(H) be an arbitrary vertex.
Let E_v be the set of edges incident to v in H.
Then, for any pair p,q∈σ of splittings performed   on v the partitions of E_v induced by p and q are non-crossing.",monotone,['Monotone']
monotone,"[Monotonicity]\label{def:monotone}
  A characteristic function \(v\) is called \emph{monotone} if given sets
  \(S\) and \(T\), with
  \(S\subseteq T\), then
  \(
    v(S) \leq v(T).
  \)",1809.07747#arxiv_v2s.tex,definition + \emph{},"[Monotonicity]
  A characteristic function v is called monotone if given sets
  S and T, with
  S⊆ T, then
  v(S) ≤ v(T).",monotone,['Monotone']
monotone subset,"[Erd\H{o}s--Szekeres on monotone
%subsequences \cite{es-cpg-35}]\label{t:es1}
%For every positive integer $n$,
%among every $N=(n-1)^2+1$ points $p_1,\ldots,p_N\in\R^2$ as above,
%one can always choose a \emph{monotone subset}
%of at least $n$ points, i.e.,
%indices $i_1<i_2<\cdots<i_n$ such that
%either $y_{i_1}\le y_{i_2}\le \cdots\le y_{i_n}$
%or $y_{i_1}\ge y_{i_2}\ge \cdots\ge y_{i_n}$.
%",1307.5157#ramslb.tex,theorem + \emph{},"[Erdős–Szekeres on monotone








",monotone subset,['Monotone']
monotone subset,"[Erd\H{o}s--Szekeres on monotone
subsequences \cite{es-cpg-35}]\label{t:es1}
For every positive integer $n$,
among every $N=(n-1)^2+1$ points $p_1,\ldots,p_N\in\R^2$ as above,
one can always choose a \emph{monotone subset}
of at least $n$ points, i.e.,
indices $i_1<i_2<\cdots<i_n$ such that
either $y_{i_1}\le y_{i_2}\le \cdots\le y_{i_n}$
or $y_{i_1}\ge y_{i_2}\ge \cdots\ge y_{i_n}$.",1111.3824#arxiv.tex,theorem + \emph{},"[Erdős–Szekeres on monotone
subsequences <cit.>]
For every positive integer n,
among every N=(n-1)^2+1 points p_1,…,p_N∈^2 as above,
one can always choose a monotone subset
of at least n points, i.e.,
indices i_1<i_2<⋯<i_n such that
either y_i_1≤ y_i_2≤⋯≤ y_i_n
or y_i_1≥ y_i_2≥⋯≥ y_i_n.",monotone subset,['Monotone']
morphism;isomorphism,"Let $\A,\mathcal{B}$ be two sets of combinatorial objects, and let
  $\Des_A$ and $\Des_B$ be subset statistics on
  each. Given involutions $\alpha_i$ on $\A$ and $\beta_i$ on
  $\mathcal{B}$, a \emph{morphism} from $(\A,\Des_A,\alpha)$ to
  $(\mathcal{B},\Des_B,\beta)$ is a map $\phi:\A \rightarrow
  \mathcal{B}$ such that for every $a \in \A$, we have
  $\Des_{A}(a) = \Des_{B}(\phi(a))$ and
  $\phi(\alpha_i(a)) = \beta_i(\phi(a))$. A morphism is an
  \emph{isomorphism} if it is a bijection from $\A$ to $\mathcal{B}$.
  \label{def:morphism}",1402.2570#shifted.tex,definition + \emph{},"Let ,ℬ be two sets of combinatorial objects, and let
  _A and _B be subset statistics on
  each. Given involutions α_i on  and β_i on
  ℬ, a morphism from (,_A,α) to
  (ℬ,_B,β) is a map ϕ:→ℬ such that for every a ∈, we have
  _A(a) = _B(ϕ(a)) and
  ϕ(α_i(a)) = β_i(ϕ(a)). A morphism is an
  isomorphism if it is a bijection from  to ℬ.
  ",morphism;isomorphism,['Isomorphism']
morphism;isomorphism,"A \emph{morphism} between two signed, colored graphs of type $(n,N)$
  satisfying dual equivalence graph axiom $1$, say $\G=(V,\sigma,E)$
  and $\mathcal{H}=(W,\tau,F)$, is a map $\phi : V \rightarrow W$ such
  that for every $u,v \in V$
  \begin{itemize}
  \item for every $1 \leq i < N$, we have $\sigma(v)_i =
    \tau(\phi(v))_i$, and 
  \item for every $1 < i < n$, if $\{u,v\} \in E_i$, then
    $\{\phi(u),\phi(v)\} \in F_i$.
  \end{itemize}
  A morphism is an \emph{isomorphism} if it is a bijection on vertex
  sets.
\label{defn:isomorphism}",1506.03798#part1.tex,definition + \emph{},"A morphism between two signed, colored graphs of type (n,N)
  satisfying dual equivalence graph axiom 1, say =(V,σ,E)
  and ℋ=(W,τ,F), is a map ϕ : V → W such
  that for every u,v ∈ V
  
  
  * for every 1 ≤ i < N, we have σ(v)_i =
    τ(ϕ(v))_i, and 
  
  * for every 1 < i < n, if {u,v}∈ E_i, then
    {ϕ(u),ϕ(v)}∈ F_i.
  
  A morphism is an isomorphism if it is a bijection on vertex
  sets.
",morphism;isomorphism,['Isomorphism']
