,title,term,definition,pred
189,Definition:Bounded Set/Real Numbers,Bounded,"=== Definition 1 ===
Let ℝ be the set of real numbers.


Let T ⊆ℝ be both bounded below and bounded above in ℝ.


Then T is bounded in ℝ.

=== Definition 2 ===
Let ℝ be the set of real numbers.


Let T ⊆ℝ be a subset of ℝ such that:
:∃ K ∈ℝ: ∀ x ∈ T: | x |≤ K
where | x | denotes the absolute value of x.


Then T is bounded in ℝ.",Definition:Bounded Subset of Normed Vector Space
190,Definition:Bounded Class,Bounded,"Let B be a class.


=== Bounded by Set ===
Let B be a class.

Let x be a set.

B is bounded by x  if and only if :
:every element of B is a subset of x.

=== Bounded Subset of Class ===
Let B be a class.

Let B be a subclass of a class A.

Then B is a bounded subset of A  if and only if :
:there exists a set x ∈ A such that B is bounded by x 


That is,  if and only if  every element of B is a subset of x.",Definition:Bounded Set/Real Numbers
191,Definition:Bounded Mapping,Bounded,"Let S be a set.

Let ( T, ≼) be an ordered set.

Let f: S → T be a mapping.

Let the image of f be bounded.


Then f is bounded.


That is, f is bounded  if and only if  it is both bounded above and bounded below.


=== Real-Valued Function ===
Let f: S →ℝ be a real-valued function.


=== Definition 1 ===
Let f: S →ℝ be a real-valued function.


f is bounded on S  if and only if :
:f is bounded above on S
and also:
:f is bounded below on S.

=== Definition 2 ===
Let f: S →ℝ be a real-valued function.


f is bounded on S  if and only if :
:∃ K ∈ℝ_≥ 0: ∀ x ∈ S: | f (   )x |≤ K
where | f (   )x | denotes the absolute value of f (   )x.

=== Definition 3 ===
Let f: S →ℝ be a real-valued function.


f is bounded on S  if and only if :
:∃ a, b ∈ℝ_≥ 0: ∀ x ∈ S: f (   )x ∈[ a  . . ]b
where [ a  . . ]b denotes the (closed) real interval from a to b.

=== Function Attaining its Bounds ===
Let f: S →ℝ be a bounded real-valued function.

Let T be a subset of S.

Suppose that:
:∃ a, b ∈ T: ∀ x ∈ S: f (   )a ≤ f (   )x ≤ f (   )b


Then f attains its bounds on T.

=== Complex-Valued Function ===
Let f: S →ℂ be a complex-valued function.


Then f is bounded  if and only if  the real-valued function | f |: S →ℝ is bounded, where | f | is the modulus of f.


That is, f is bounded if there is a constant K ≥ 0 such that | f (   )z |≤ K for all z ∈ S.


=== Unbounded ===
Let f: S →ℂ be a complex-valued function.


Then f is unbounded  if and only if  f is not bounded.


That is, f is unbounded if there does not exist a constant K ≥ 0 such that | f ( z ) |≤ K for all z ∈ S.

=== Normed Division Ring ===
Let ( R, ‖ · ‖) be a normed division ring.

Let f: S → R be a mapping from S into R.

Then f is bounded  if and only if  the real-valued function ‖ · ‖∘ f: S →ℝ is bounded, where ‖ · ‖∘ f is the composite of ‖ · ‖ and f.


That is, f is bounded if there is a constant K ∈ℝ_≥ 0 such that ‖ f ( s ) ‖≤ K for all s ∈ S.

=== Metric Space ===
Let M be a metric space.

Let f: X → M be a mapping from any set X into M.


Then f is a bounded mapping  if and only if  f [ X ] is bounded in M.

=== Normed Vector Space ===
Let ( R, ‖ · ‖) be a normed division ring.

Let ( X, ‖ · ‖) be a normed vector space over R. 

Let S be a set.

Let f : S → X be a mapping.


We say that f is bounded  if and only if  there exists a real number M > 0 such that:
:‖ f (   )x ‖≤ M for each x ∈ S.",Definition:Bounded Class
192,Definition:Bounded Mapping/Real-Valued,Bounded,"Let f: S →ℝ be a real-valued function.


=== Definition 1 ===
Let f: S →ℝ be a real-valued function.


f is bounded on S  if and only if :
:f is bounded above on S
and also:
:f is bounded below on S.

=== Definition 2 ===
Let f: S →ℝ be a real-valued function.


f is bounded on S  if and only if :
:∃ K ∈ℝ_≥ 0: ∀ x ∈ S: | f (   )x |≤ K
where | f (   )x | denotes the absolute value of f (   )x.

=== Definition 3 ===
Let f: S →ℝ be a real-valued function.


f is bounded on S  if and only if :
:∃ a, b ∈ℝ_≥ 0: ∀ x ∈ S: f (   )x ∈[ a  . . ]b
where [ a  . . ]b denotes the (closed) real interval from a to b.

=== Function Attaining its Bounds ===
Let f: S →ℝ be a bounded real-valued function.

Let T be a subset of S.

Suppose that:
:∃ a, b ∈ T: ∀ x ∈ S: f (   )a ≤ f (   )x ≤ f (   )b


Then f attains its bounds on T.",Definition:Bounded Subset of Topological Vector Space
193,Definition:Bounded Sequence,Bounded,"A special case of a bounded mapping is a bounded sequence, where the domain of the mapping is ℕ.


Let ( T, ≼) be an ordered set.

Let ⟨ x_n ⟩ be a sequence in T.


Then ⟨ x_n ⟩ is bounded  if and only if  ∃ m, M ∈ T such that ∀ i ∈ℕ:
:(1):    m ≼ x_i
:(2):    x_i ≼ M


That is,  if and only if  it is bounded above and bounded below.


=== Real Sequence ===

The concept is usually encountered where ( T, ≼) is the set of real numbers under the usual ordering: ( ℝ, ≤):

Let ⟨ x_n ⟩ be a real sequence.


Then ⟨ x_n ⟩ is bounded  if and only if  ∃ m, M ∈ℝ such that ∀ i ∈ℕ:
:m ≤ x_i
:x_i ≤ M


That is,  if and only if  it is bounded above and bounded below.


=== Unbounded ===
Let ⟨ x_n ⟩ be a real sequence.


⟨ x_n ⟩ is unbounded  if and only if  it is not bounded.

=== Complex Sequence ===
Let ⟨ z_n ⟩ be a complex sequence.


Then ⟨ z_n ⟩ is bounded  if and only if :
:∃ M ∈ℝ such that ∀ i ∈ℕ: | z_i |≤ M
where | z_i | denotes the complex modulus of z_i.

=== Normed Division Ring ===
Let ( R, ‖ · ‖) be a normed division ring.

Let ⟨ x_n ⟩ be a sequence in R.

Then ⟨ x_n ⟩ is bounded  if and only if :
:∃ K ∈ℝ such that ∀ n ∈ℕ: ‖ x_n ‖≤ K


=== Unbounded ===
Let ( R, ‖ · ‖) be a normed division ring.

Let ⟨ x_n ⟩ be a sequence in R.


⟨ x_n ⟩ is unbounded  if and only if  it is not bounded.

=== Normed Vector Space ===
Let ( X, ‖ · ‖) be a normed vector space.

Let ⟨ x_n ⟩ be a sequence in X.


Then ⟨ x_n ⟩ is bounded  if and only if :
:∃ K ∈ℝ such that ∀ n ∈ℕ: ‖ x_n ‖≤ K


=== Unbounded ===
Let ( X, ‖ · ‖) be a normed vector space.

Let ⟨ x_n ⟩ be a sequence in R.


⟨ x_n ⟩ is unbounded  if and only if  it is not bounded.

=== Metric Space ===
Let M be a metric space.

Let ⟨ x_n ⟩ be a sequence in M.

Then ⟨ x_n ⟩ is a bounded sequence  if and only if  ⟨ x_n ⟩ is bounded in M.

That is:
:∃ K ∈ℝ: ∀ n, m ∈ℕ: d (   )x_n, x_m≤ K


=== Unbounded ===
Let M be a metric space.

Let ⟨ x_n ⟩ be a sequence in M.


⟨ x_n ⟩ is unbounded  if and only if  it is not bounded.

Category:Definitions/Bounded Sequences
Category:Definitions/Metric Spaces",Definition:Bounded Subset of Topological Vector Space
194,Definition:Bounded Sequence/Real,Bounded,"Let ⟨ x_n ⟩ be a real sequence.


Then ⟨ x_n ⟩ is bounded  if and only if  ∃ m, M ∈ℝ such that ∀ i ∈ℕ:
:m ≤ x_i
:x_i ≤ M


That is,  if and only if  it is bounded above and bounded below.


=== Unbounded ===
Let ⟨ x_n ⟩ be a real sequence.


⟨ x_n ⟩ is unbounded  if and only if  it is not bounded.",Definition:Bounded Subset of Normed Vector Space
195,Definition:Bounded Region of Plane,Bounded,"Let D ⊆ℝ^2 be a subset of the plane.

D is bounded  if and only if  there exists a circle in the plane which completely encloses D.",Definition:Bounded Mapping/Real-Valued
196,Definition:Bounded Metric Space,Bounded,"Let M = ( A, d ) be a metric space.

Let M' = ( B, d_B ) be a subspace of M.


=== Definition 1 ===
Let M = ( A, d ) be a metric space.

Let M' = ( B, d_B ) be a subspace of M.


M' is bounded (in M)  if and only if :
:∃ a ∈ A, K ∈ℝ: ∀ x ∈ B: d (   )x, a≤ K

That is, there exists an element of A within a finite distance of all elements of B.

=== Definition 2 ===
Let M = ( A, d ) be a metric space.

Let M' = ( B, d_B ) be a subspace of M.


M' is bounded (in M)  if and only if :
:∃ K ∈ℝ: ∀ x, y ∈ M': d_B (   )x, y≤ K

That is, there exists a finite distance such that all pairs of elements of B are within that distance.

=== Definition 3 ===
Let M = ( A, d ) be a metric space.

Let M' = ( B, d_B ) be a subspace of M.


M' is bounded (in M)  if and only if :
:∃ x ∈ A, ϵ∈ℝ_>0: B ⊆ B_ϵ(   )x

where B_ϵ(   )x is the open ϵ-ball of x.


That is, M' can be fitted inside an open ball.

=== Definition 4 ===
Let M = ( A, d ) be a metric space.

Let M' = ( B, d_B ) be a subspace of M.

Let a' ∈ A.


M' is bounded (in M)  if and only if :
:∃ K ∈ℝ: ∀ x ∈ B: d (   )x, a'≤ K",Definition:Bounded Subset of Normed Vector Space
197,Definition:Bounded Metric Space/Complex,Bounded,"Let D be a subset of the complex plane ℂ.


Then D is bounded (in ℂ)  if and only if  there exists M ∈ℝ such that:
: ∀ z ∈ D: | z |≤ M


=== Unbounded ===
Let D be a subset of the complex plane ℂ.


Then D is unbounded (in ℂ)  if and only if :
: ∄ M ∈ℝ: ∀ z ∈ D: | z |≤ M

That is, if D is not bounded in ℂ.",Definition:Bounded Set/Real Numbers
198,Definition:Bounded Subset of Topological Vector Space,Bounded,"Let 𝔽∈{ℝ, ℂ}.

Let ( V, τ) be a topological vector space over 𝔽.


A subset B ⊆ V is bounded  if and only if :
:for each U ∈τ such that 0_V ∈ U there is an ϵ∈ℝ_>0 such that:
::ϵ B ⊆ U

where:
:0_V denotes the zero vector of V
:ϵ B denotes the dilation of B by ϵ",Definition:Bounded Class
199,Definition:Bounded Subset of Normed Vector Space,Bounded,"Let M = ( X, ‖ · ‖) be a normed vector space.

Let M' ⊆ X. 


=== Definition 1 ===
Let M = ( X, ‖ · ‖) be a normed vector space.

Let M' = ( Y, ‖ · ‖_Y ) be a subspace of M.


M' is bounded (in M)  if and only if :
:∃ x ∈ X, C ∈ℝ_> 0: ∀ y ∈ Y: ‖ x - y ‖≤ C

=== Definition 2 ===
Let M = ( X, ‖ · ‖) be a normed vector space.

Let M' = ( Y, ‖ · ‖_Y ) be a subspace of M.


M' is bounded (in M)  if and only if :
:∃ϵ∈ℝ_>0 : ∃ x ∈ X : Y ⊆ B_ϵ^- (   )x

where B_ϵ^- (   )x is a closed ball in M.",Definition:Bounded Sequence/Real
200,Definition:Codomain (Relation Theory),Codomain,"=== Relation ===
The codomain of a relation ℛ⊆ S × T is T.

It can be denoted Cdm( ℛ).

=== Mapping ===

The term codomain is usually seen when the relation in question is actually a mapping:
Let S and T be sets.

Let f: S → T be a mapping.

The codomain of f is T.

It is denoted on   by Cdm( f ).",Definition:Codomain (Relation Theory)
201,Definition:Codomain (Category Theory),Codomain,"Let f: X → Y be a morphism.

Then the codomain of f is defined to be the object Y.

This is usually denoted Y = Cdm( f ).

Category:Definitions/Morphisms",Definition:Codomain (Relation Theory)
202,Definition:Divisor (Algebra)/Integer,Factor,"Let ( ℤ, +, ×) be the ring of integers.

Let x, y ∈ℤ.


Then x divides y is defined as:
:x \ y ∃ t ∈ℤ: y = t × x


=== Aliquot Part ===
An aliquot part of an integer n is a divisor of n which is strictly less than n.

=== Aliquant Part ===
An aliquant part of an integer n is a positive integer which is less than n but is not a divisor of n.",Definition:Divisor (Algebra)/Integer
203,Definition:Cartesian Product/Factors,Factor,"Let S and T be sets.

Let S × T be the cartesian product of S and T.


Then the sets S and T are called the factors of S × T.",Definition:Divisor (Algebra)/Integer
204,Definition:Product Topology/Factor Space,Factor,"Let ⟨( X_i, τ_i )  ⟩_i ∈ I be an indexed family of topological spaces where I is an arbitrary index set.

Let ( 𝒳, τ) be the product space of ⟨( x_i, τ_i )  ⟩_i ∈ I.


Each of the topological spaces ( X_i, τ_i ) are called the factors of ( 𝒳, τ), and can be referred to as factor spaces.",Definition:Cartesian Product/Factors
205,Definition:Dominate (Set Theory),Dominate,"Let S and T be sets.


=== Definition 1 ===
Let S and T be sets.


Then S is dominated by T  if and only if  there exists an injection from S to T.


The notation S ≼ T is used to indicate that S dominates T.

=== Definition 2 ===
Let S and T be sets.


Then S is dominated by T  if and only if  S is equivalent to some subset of T.

That is,  if and only if  there exists a bijection f: S → T' for some T' ⊆ T.

The notation S ≼ T is used to indicate that S dominates T.

=== Strictly Dominated ===
Let S, T be sets.


S is strictly dominated by set T  if and only if  S ≼ T but T ≼ S.

This can be written S ≺ T or S < T.


Category:Definitions/Set Theory",Definition:Dominate (Analysis)
206,Definition:Dominate (Analysis),Dominate,"Let ⟨ a_n ⟩ be a sequence in ℝ.

Let ⟨ z_n ⟩ be a sequence in ℂ.


Then ⟨ a_n ⟩ dominates ⟨ z_n ⟩  if and only if :
:∀ n ∈ℕ: | z_n |≤ a_n

Category:Definitions/Analysis
Category:Definitions/Complex Analysis",Definition:Dominate (Analysis)
207,Definition:Finitely Generated Module,Finite Type,"Let R be a ring.

Let M be a module over R.


Then M is finitely generated  if and only if  there is a generator for M which is finite.",Definition:Morphism of Schemes of Finite Type
208,Definition:Morphism of Schemes of Finite Type,Finite Type,"Let ( X, 𝒪_X ) and ( Y, 𝒪_Y ) be schemes.

Let f : ( X, 𝒪_X ) →( Y, 𝒪_Y ) be a morphism of schemes.


f is of finite type  if and only if  f is locally of finite type and quasi-compact.",Definition:Morphism of Schemes of Finite Type
209,Definition:Exterior (Topology),Exterior,"Let T be a topological space.

Let H ⊆ T.


=== Definition 1 ===
Let T be a topological space.

Let H ⊆ T.


The exterior of H is the complement of the closure of H in T.

=== Definition 2 ===
Let T be a topological space.

Let H ⊆ T.


The exterior of H is the interior of the complement of H in T.",Definition:Exterior Point (Complex Analysis)
210,Definition:Exterior Derivative,Exterior,"Let an exact n-form ω be given on an m-manifold, with local coordinates x_1, x_2, …, x_m.

Let a local coordinate expression for ω be given:

:ω = f (   )x_1, …, x_m d x_ϕ(   )1∧d x_ϕ(   )2∧⋯∧d x_ϕ(   )n

where:
:ϕ: { 1, …, n }→{ 1, …, m } is an injection which determines which coordinate vectors ω acts on.
:∧ denotes the wedge product.


The exterior derivative dω is the ( n + 1 )-form defined as:

:dω = ( ∑_k  = 1^m ∂ f/∂ x_k d x_k ) ∧d x_ϕ(   )1∧d x_ϕ(   )2∧…∧d x_ϕ(   )n


For inexact forms:
:d(   )a + b = d a + d b",Definition:Polygon/External Angle
211,Definition:Polygon/External Angle,Exterior,"Contrary to intuition, the external angle of a vertex of a polygon is not the size of the angle between the sides forming that vertex, as measured outside the polygon.

An external angle is in fact an angle formed by one side of a polygon and a line produced from an adjacent side.

:

While ∠ AFE is the internal angle of vertex F, the external angle of this vertex is ∠ EFG.",Definition:Exterior Derivative
212,Definition:Transversal (Geometry)/Exterior Angle,Exterior,":


An exterior angle of a transversal is an angle which is not between the two lines cut by a transversal.

In the above figure, the exterior angles with respect to the transversal EF are:
:∠ AHE
:∠ CJF
:∠ BHE
:∠ DJF",Definition:Exterior Derivative
213,Definition:Exterior Point (Complex Analysis),Exterior,"Let S ⊆ℂ be a subset of the complex plane.

Let z_0 ∈ℂ.


=== Definition 1 ===
Let S ⊆ℂ be a subset of the complex plane.

Let z_0 ∈ℂ.


z_0 is an exterior point of S  if and only if  z_0 has an ϵ-neighborhood which is disjoint from S.

=== Definition 2 ===
Let S ⊆ℂ be a subset of the complex plane.

Let z_0 ∈ℂ.


z_0 is an exterior point of S  if and only if :
:z_0 is not an interior point of S
and:
:z_0 is not a boundary point of S.",Definition:Transversal (Geometry)/Exterior Angle
214,Definition:Jordan Curve/Exterior,Exterior,"Let f: [ 0  . . ]1 →ℝ^2 be a Jordan curve.


It follows from the Jordan Curve Theorem that ℝ^2 ∖Img( f ) is a union of two disjoint connected components, one of which is unbounded.

This unbounded component is called the exterior of f, and is denoted as Ext( f ).",Definition:Exterior Point (Complex Analysis)
215,Definition:Left Inverse Mapping,Left Inverse,"Let S, T be sets where S ∅, that is, S is not empty.

Let f: S → T be a mapping.


Let g: T → S be a mapping such that:
:g ∘ f = I_S
where:
:g ∘ f denotes the composite mapping f followed by g;
:I_S is the identity mapping on S.


Then g: T → S is called a left inverse (mapping).",Definition:Inverse Matrix/Left
216,Definition:Inverse (Abstract Algebra)/Left Inverse,Left Inverse,"Let ( S, ∘) be a monoid whose identity is e_S.

An element x_L ∈ S is called a left inverse of x  if and only if :
:x_L ∘ x = e_S",Definition:Inverse (Abstract Algebra)/Left Inverse
217,Definition:Inverse Matrix/Left,Left Inverse,"Let m, n ∈ℤ_>0 be a (strictly) positive integer.


Let 𝐀 = [ a ]_m n be a matrix of order m × n.

Let 𝐁 = [ b ]_n m be a matrix of order n × m such that:
:𝐁𝐀 = 𝐈_n

where 𝐈_n denotes the unit matrix of order n.


Then 𝐁 is known as a left inverse (matrix) of 𝐀.",Definition:Left Inverse Mapping
218,Definition:Language of Predicate Logic/Formal Grammar/Term,Term,"Part of specifying the language of predicate logic ℒ_1 is the introduction of terms.


The terms of ℒ_1 are identified by the following bottom-up grammar:

 
 
 
 

Colloquially, we can think of a term as an expression signifying an object.",Definition:Term of Expression
219,Definition:Logical Term,Term,"Both the subject and the predicate of a simple statement are referred to as its (logical) terms.


Note that this use of the word term is a more specialized use of the word term as used in algebra.",Definition:Term of Expression
220,Definition:Term of Expression,Term,"A term is either a variable or a constant.


Let a ∘ b be an expression.

Then each of a and b are known as the terms of the expression.


The word term is usually used when the operation ∘ is addition, that is +.",Definition:Term of Sequence
221,Definition:Polynomial/Term,Term,"Let P = a_n x^n + a_n - 1 x^n - 1 + ⋯ + a_1 x + a_0 be a polynomial.

Each of the expressions a_i x^i, for 0 ≤ i ≤ n, is referred to as a term of P.",Definition:Language of Predicate Logic/Formal Grammar/Term
222,Definition:Fraction/Term,Term,"The terms of a fraction are referred to as the numerator and the denominator:

=== Numerator ===
Let a b be a fraction.

The term a is known as the numerator of a b.

=== Denominator ===
Let a b be a fraction.

The term b is known as the denominator of a b.

A helpful mnemonic to remember which goes on top and which goes on the bottom is ""Numerator Over Denominator"", which deserves a ""nod"" for being correct.",Definition:Language of Predicate Logic/Formal Grammar/Term
223,Definition:Term of Sequence,Term,"The elements of a sequence are known as its terms.


Let ⟨ x_n ⟩ be a sequence.

Then the kth term of ⟨ x_n ⟩ is the ordered pair ( k, x_k ).


=== Index ===
Let ⟨ x_n ⟩ be a sequence.

Let x_k be the kth term of ⟨ x_n ⟩.

Then the integer k is known as the index of x_k.",Definition:Fraction/Term
224,Definition:Indexing Set/Term,Term,"Let I and S be sets.

Let x: I → S be a mapping.

Let x_i denote the image of an element i ∈ I of the domain I of x.

Let ⟨ x_i ⟩_i ∈ I denote the set of the images of all the element i ∈ I under x.


The image of x at an index i is referred to as a term of the (indexed) family, and is denoted x_i.


=== Notation ===
The family of elements x of S indexed by I is often seen with one of the following notations:

:⟨ x_i ⟩_i ∈ I

:( x_i )_i ∈ I

:{ x_i }_i ∈ I


There is little consistency in the literature, but ( x_i )_i ∈ I is perhaps most common.

The preferred notation on   is ⟨ x_i ⟩_i ∈ I.

The subscripted i ∈ I is often left out, if it is obvious in the particular context.


Note the use of x_i to denote the image of the index i under the indexing function x.

As x is actually a mapping, one would expect the conventional notation x (   )i.

However, this is generally not used, and x_i is used instead.


Category:Definitions/Indexed Families",Definition:Term (Natural Language)
225,Definition:Ordered Tuple/Term,Term,"Let n ∈ℕ_>0.

Let ⟨ a_k ⟩_k ∈ℕ^*_n be an ordered tuple.

The ordered pair ( k, a_k ) is called the kth term of the ordered tuple for each k ∈ℕ^*_n.",Definition:Language of Predicate Logic/Formal Grammar/Term
226,Definition:Term (Natural Language),Term,"A term is a noun which is assigned a specified definition within mathematics.

In a more specialized context, the word term is used for an element  of an expression.

Category:Definitions/Language Definitions",Definition:Term of Sequence
227,Definition:Loop (Plane Geometry),Loop,"A loop is a part of a plane curve that intersects itself.

Hence it encloses a bounded set of points.",Definition:Relational Loop
228,Definition:Loop (Graph Theory),Loop,"Let G = ( V, E ) be a loop-graph.

A loop is an edge e of G whose endvertices are the same vertex.


Thus a loop e on the vertex v would be written:
:e = vv",Definition:Loop (Matroid)
229,Definition:Algebra Loop,Loop,"An algebra loop ( S, ∘) is a quasigroup with an identity element.
:∃ e ∈ S: ∀ x ∈ S: x ∘ e = x = e ∘ x",Definition:Loop (Matroid)
230,Definition:Relational Loop,Loop,"Let ℛ be a relation on a set S.

Let a_1, a_2, … a_n be elements of S.


A relational loop on S takes the form:

:( a_1 ℛ a_2  a_2 ℛ a_3 … a_n - 1ℛ a_n  a_n ℛ a_1 )

That is, it is a subset of ℛ of the form:
:{( a_1, a_2 ), ( a_2, a_3 ), …, ( a_n - 1, a_n ), ( a_n, a_1 )  }",Definition:Loop (Matroid)
231,Definition:Loop (Topology),Loop,"Let T = ( S, τ) be a topological space.

Let γ: [ 0  . . ]1 → S be a path in T.

Let γ(   )0 = γ(   )1.


Then γ is called a loop (in T).


=== Simple Loop ===
Let T = ( S, τ) be a topological space.

Let γ: [ 0  . . ]1 → S be a path in T.


γ is a simple loop (in T)  if and only if :
:γ(   )t_1γ(   )t_2 for all t_1 ,t_2 ∈[ 0  . . )1 with t_1  t_2
:γ(   )0 = γ(   )1

=== Base Point ===
Let X be a topological space.

Let γ: [ 0  . . ]1 → X be a loop.


The base point of γ is γ(   )0.

In other words, γ is said to be based at γ(   )0.

=== Set of All Loops ===
Let T be a topological space.


The set of all loops based at p ∈ T is denoted by Ω(   )T, p.

=== Constant Loop ===
Let T be a topological space.

Let p ∈ T.

Let Ω(   )T, p denote the set of all loops based at p.


A constant loop c_p is the loop c_p ∈Ω(   )T, p such that:

:∀ t ∈[ 0  . . ]1 : c_p (   )t = p

=== Null-Homotopic Loop ===
Let T = ( S, τ) be a topological space.

Let γ be a loop in T.

Suppose γ is path-homotopic to a constant loop.


Then γ is said to be null-homotopic.

=== Circle Representative of Loop ===
Let T = ( S, τ) be a topological space.

Let γ: [ 0  . . ]1 → S be a loop in T.

Let S^1 ⊆ℂ be the unit circle in ℂ:

:S^1 = { z ∈ℂ : | z | = 1 }

Suppose ω : [ 0  . . ]1 → S^1 such that ω(   )s = exp(   )2 π i s.


Then the unique map f̃ :  S^1 → T such that f̃∘ω = f is called the circle representative of f.

=== Loop in Topological Manifold ===
Let M be a topological manifold.

Let σ : [ 0  . . ]1 → M be a continuous path.

Let σ(   )0 = σ(   )1.


Then σ is called a loop.",Definition:Loop (Matroid)
232,Definition:Loop (Matroid),Loop,"Let M = ( S, ℐ) be a matroid.


A loop of M is an element x of S such that { x } is a dependent subset of S.

That is, x ∈ S is a loop  if and only if  { x }∉ℐ.",Definition:Relational Loop
233,Definition:Subfield/Proper Subfield,Proper,"Let ( K, +, ∘) be a subfield of ( F, +, ∘).


Then ( K, +, ∘) is a proper subfield of ( F, +, ∘)  if and only if  K  F.


That is, ( K, +, ∘) is a proper subfield of ( F, +, ∘)  if and only if :
:(1):   ( K, +, ∘) is a subfield of ( F, +, ∘)
:(2):    K is a proper subset of F.",Definition:Well-Formed Part/Proper Well-Formed Part
234,Definition:Proper Subgroup,Proper,"Let ( G, ∘) be a group.


Then ( H, ∘) is a proper subgroup of ( G, ∘)  if and only if :

: (1):   ( H, ∘) is a subgroup of ( G, ∘)
: (2):    H  G, i.e. H ⊂ G.


The notation H < G, or G > H, means:
: H is a proper subgroup of G.


If H is a subgroup of G, but it is not specified whether H = G or not, then we write H ≤ G, or G ≥ H.


=== Non-Trivial Proper Subgroup ===
Let ( G, ∘) be a group.

Let ( H, ∘) be a subgroup of ( G, ∘) such that { e }⊂ H ⊂ G, that is:
:H { e }
:H  G

Then ( H, ∘) is a non-trivial proper subgroup of ( G, ∘).",Definition:Proper Element of Ring
235,Definition:Proper Subring,Proper,"Let ( R, +, ∘) be a ring.


A subring S of R is a proper subring of R  if and only if  S is neither the null ring nor R itself.",Definition:Well-Formed Part/Proper Well-Formed Part
236,Definition:Subcontinuum/Proper Subcontinuum,Proper,"Let T = ( S, τ) be a topological space.

Let H ⊆ S be a continuum in T.


Let K be a subcontinuum of H such that K  H.

That is, let K be a proper subset of H.


Then K is a proper subcontinuum of H.",Definition:Well-Formed Part/Proper Well-Formed Part
237,Definition:Vector Subspace,Proper,"Let K be a division ring.

Let ( S, +, ∘)_K be a K-algebraic structure with one operation.


Let T be a closed subset of S.

Let ( T, +_T, ∘_T )_K be a K-vector space where:
:+_T is the restriction of + to T × T and
:∘_T is the restriction of ∘ to K × T.


Then ( T, +_T, ∘_T )_K is a (vector) subspace of ( S, +, ∘)_K.


=== Proper Subspace ===
Let K be a division ring.

Let ( S, +, ∘)_K be a K-algebraic structure with one operation.

Let ( T, +_T, ∘_T )_K be a vector subspace of ( S, +, ∘)_K.


If T is a proper subset of S, then ( T, +_T, ∘_T )_K is a proper (vector) subspace of ( S, +, ∘)_K.

=== Hilbert Spaces ===
Let K be a division ring.

Let (S, +, ∘)_K be a K-algebraic structure with one operation.


Let T be a closed subset of S.

Let (T, +_T, ∘_T)_K be a K-vector space where:
: +_T is the restriction of + to T × T and
: ∘_T is the restriction of ∘ to K × T.


Then (T, +_T, ∘_T)_K is a (vector) subspace of (S, +, ∘)_K.


When considering Hilbert spaces, one wants to deal with projections onto subspaces.

These projections however require the linear subspace to be closed in topological sense in order to be well-defined.

Therefore, in treatises of Hilbert spaces, one encounters the terminology linear manifold for the concept of vector subspace defined above.

The adapted definition of linear subspace is then that it is a topologically closed linear manifold.",Definition:Subcontinuum/Proper Subcontinuum
238,Definition:Submodule/Proper,Proper,"Let ( R, +, ∘) be a ring.

Let ( G, +_G, ∘_G )_R be an R-module.

Let ( H, +_H, ∘_H )_R be a submodule of ( G, +_G, ∘_G )_R.

Let H be a proper subset of G.


Then ( H, +_H, ∘_H )_R is a proper submodule of ( G, +_G, ∘_G )_R.",Definition:Well-Formed Part/Proper Well-Formed Part
239,Definition:Ideal of Ring/Proper Ideal,Proper,"Let ( R, +, ∘) be a ring.


A proper ideal J of ( R, +, ∘) is an ideal of R such that J is a proper subset of R.

That is, such that J ⊆ R and J  R.",Definition:Submodule/Proper
240,Definition:Proper G-Submodule,Proper,"Let (V, ϕ) be a G-module.


A G-submodule of V is called proper iff it is a proper vector subspace of V.

",Definition:Well-Formed Part/Proper Well-Formed Part
241,Definition:Proper Coloring,Proper,"Let G = ( V, E ) be a simple graph.


=== Proper Vertex Coloring ===
Let G = ( V, E ) be a simple graph.


A proper (vertex) k-coloring of G is defined as a vertex coloring from a set of k colors such that no two adjacent vertices share a common color.

That is, a proper k-coloring of G is a mapping c: V →{ 1, 2, … k } such that:
:∀ e = { u, v }∈ E: c (   )u  c (   )v

=== Proper Edge Coloring ===
Let G = ( V, E ) be a simple graph.


A proper (edge) k-coloring of G is defined as an edge coloring from a set of k colors such that no two adjacent edges share a common color.

That is, a proper k-coloring of G is a mapping c: E →{ 1, 2, … k } such that:
:∀ v ∈ V: ∀ e = { u_k, v }∈ E: c (   ){ u_i, v } c (   ){ u_j, v }

Category:Definitions/Graph Colorings",Definition:Proper Subset
242,Definition:Proper Coloring/Vertex Coloring,Proper,"Let G = ( V, E ) be a simple graph.


A proper (vertex) k-coloring of G is defined as a vertex coloring from a set of k colors such that no two adjacent vertices share a common color.

That is, a proper k-coloring of G is a mapping c: V →{ 1, 2, … k } such that:
:∀ e = { u, v }∈ E: c (   )u  c (   )v",Definition:Submodule/Proper
243,Definition:Rooted Tree/Ancestor Node/Proper,Proper,"Let T be a rooted tree with root r_T.

Let t be a node of T.


A proper ancestor node of t is an ancestor node of t that is not t itself.",Definition:Well-Formed Part/Proper Well-Formed Part
244,Definition:Refinement of Normal Series/Proper Refinement,Proper,"A proper refinement of a normal series is a refinement which is not equal to the original normal series.


That is, it contains extra (normal) subgroups which are not present in the original normal series.",Definition:Well-Formed Part/Proper Well-Formed Part
